模型,上下文窗口,最大输入tokens,最大输出tokens
Qwen3.7-Max-DogFooding,990998,991000,65536
Qwen3.6-Plus-DogFooding,990998,991000,65536
gemini-3.5-flash,1048576,1048576,65536
deepseek-v4-pro,204800,169984,16384
gpt-5.4-0305-global,1050000,922000,128000
bailian/glm-5.1,202750,202000,128000
bailian/glm-5.2,1000000,1000000,131072
gemini-3.1-flash-image-preview,1048576,1048576,65536
qwen-image-2.0-pro,1000000,1000000,1000000
claude-opus-4-6,1000000,1000000,128000
claude-opus-4-8,1000000,1000000,128000
k3,1048576,1048576,16384
qwen3.8-max-preview,990998,991000,65536
kimi-k3,1048576,1048576,16384
Peach-07-17-DogFooding,990998,991000,65536
gpt-5.6-sol,1178000,1050000,128000
claude-opus-5,1000000,1000000,128000
